timestamp,speed,rpm,throttle,engine_load,relative_throttle,prediction,score,event
2026-03-31T19:00:00.500000,0.0,0,18.0,0.0,0.0,IDLE,75.0,
2026-03-31T19:00:01.000000,1.0,0,18.0,0.0,0.0,WAITING,75.0,
2026-03-31T19:00:01.500000,0.0,0,18.0,0.0,0.0,IDLE,75.0,
2026-03-31T19:00:02.000000,0.0,0,18.0,0.0,0.0,IDLE,75.0,
2026-03-31T19:00:02.500000,0.0,0,18.0,0.0,0.0,IDLE,75.0,
2026-03-31T19:00:03.000000,4.0,0,18.0,0.0,0.0,WAITING,75.0,
2026-03-31T19:00:03.500000,6.0,0,18.0,0.0,0.0,WAITING,75.0,
2026-03-31T19:00:04.000000,5.0,0,18.0,0.0,0.0,WAITING,75.0,
2026-03-31T19:00:04.500000,4.0,0,18.0,0.0,0.0,WAITING,75.0,
2026-03-31T19:00:05.000000,3.0,0,18.0,0.0,0.0,SAFE,75.1,
2026-03-31T19:00:05.500000,6.0,0,18.0,0.0,0.0,SAFE,75.2,
2026-03-31T19:00:06.000000,9.0,0,17.3,0.0,0.0,SAFE,75.3,
2026-03-31T19:00:06.500000,13.0,1280,18.4,42.0,2.4,SAFE,75.4,
2026-03-31T19:00:07.000000,25.0,1344,26.7,83.9,9.8,SAFE,75.5,Harsh Acceleration
2026-03-31T19:00:07.500000,34.0,1536,31.8,100.0,13.7,SAFE,75.6,
2026-03-31T19:00:08.000000,41.0,1720,32.5,100.0,12.9,SAFE,75.7,
2026-03-31T19:00:08.500000,48.0,1593,30.2,91.4,0.4,SAFE,75.8,
2026-03-31T19:00:09.000000,47.0,1348,20.0,46.3,1.2,SAFE,75.9,
2026-03-31T19:00:09.500000,38.0,1313,20.0,48.6,1.2,SAFE,76.0,
2026-03-31T19:00:10.000000,28.0,1276,20.0,49.4,1.2,SAFE,76.1,
2026-03-31T19:00:10.500000,0.0,1280,20.0,48.6,1.2,IDLE,76.1,Harsh Braking
2026-03-31T19:00:11.000000,12.0,1290,20.0,49.4,2.0,SAFE,76.2,Harsh Acceleration
2026-03-31T19:00:11.500000,6.0,1399,21.6,62.0,3.1,SAFE,76.3,
2026-03-31T19:00:12.000000,4.0,1316,21.6,66.7,2.7,SAFE,76.4,
2026-03-31T19:00:12.500000,6.0,1306,21.6,67.1,2.7,SAFE,76.5,
2026-03-31T19:00:13.000000,5.0,1304,21.6,66.7,2.7,SAFE,76.6,
2026-03-31T19:00:13.500000,11.0,1298,21.6,66.7,2.7,SAFE,76.7,
2026-03-31T19:00:14.000000,17.0,1309,25.1,66.3,8.6,SAFE,76.8,
2026-03-31T19:00:14.500000,27.0,1504,31.0,98.4,14.1,SAFE,76.9,
2026-03-31T19:00:15.000000,37.0,2048,32.5,100.0,9.8,SAFE,77.0,
2026-03-31T19:00:15.500000,41.0,1536,31.4,98.4,13.3,SAFE,77.1,
2026-03-31T19:00:16.000000,45.0,1472,30.6,97.6,11.8,SAFE,77.2,
2026-03-31T19:00:16.500000,50.0,1428,22.0,68.2,3.1,SAFE,77.3,
2026-03-31T19:00:17.000000,51.0,1513,31.0,96.5,12.5,SAFE,77.4,
2026-03-31T19:00:17.500000,54.0,1402,22.0,67.5,3.1,SAFE,77.5,
2026-03-31T19:00:18.000000,55.0,1332,22.0,67.8,3.1,SAFE,77.6,
2026-03-31T19:00:18.500000,59.0,2170,38.4,94.9,23.9,AGGRESSIVE,74.6,
2026-03-31T19:00:19.000000,65.0,3219,38.8,92.2,20.4,AGGRESSIVE,71.6,
2026-03-31T19:00:19.500000,70.0,2722,38.8,60.0,3.5,AGGRESSIVE,68.6,
2026-03-31T19:00:20.000000,73.0,1244,21.6,68.6,2.7,SAFE,68.7,
2026-03-31T19:00:20.500000,74.0,1302,21.6,67.5,8.2,SAFE,68.8,
2026-03-31T19:00:21.000000,75.0,1344,27.5,92.2,7.5,SAFE,68.9,
2026-03-31T19:00:21.500000,76.0,1312,21.6,65.1,2.7,SAFE,69.0,
2026-03-31T19:00:22.000000,74.0,1333,21.6,65.5,2.7,SAFE,69.1,
2026-03-31T19:00:22.500000,67.0,1311,21.6,66.7,2.7,SAFE,69.2,
2026-03-31T19:00:23.000000,65.0,1302,21.6,66.3,2.7,SAFE,69.3,
2026-03-31T19:00:23.500000,64.0,1280,27.8,84.3,11.8,SAFE,69.4,
2026-03-31T19:00:24.000000,66.0,2792,36.9,95.3,15.3,AGGRESSIVE,66.4,
2026-03-31T19:00:24.500000,66.0,1699,29.4,82.4,1.6,SAFE,66.5,
2026-03-31T19:00:25.000000,61.0,992,16.9,37.3,0.0,SAFE,66.6,
2026-03-31T19:00:25.500000,52.0,1098,16.9,32.2,0.0,SAFE,66.7,
2026-03-31T19:00:26.000000,46.0,1056,16.9,32.9,0.0,SAFE,66.8,
2026-03-31T19:00:26.500000,34.0,1043,16.9,33.3,0.0,AGGRESSIVE,63.8,Harsh Braking
2026-03-31T19:00:27.000000,25.0,1044,17.3,72.9,11.4,SAFE,63.9,
2026-03-31T19:00:27.500000,26.0,2302,38.0,95.3,22.4,AGGRESSIVE,60.9,
2026-03-31T19:00:28.000000,33.0,2532,38.0,92.2,21.6,AGGRESSIVE,57.9,
2026-03-31T19:00:28.500000,40.0,2945,38.4,93.3,21.6,AGGRESSIVE,54.9,
2026-03-31T19:00:29.000000,45.0,2678,37.6,93.7,20.8,AGGRESSIVE,51.9,
2026-03-31T19:00:29.500000,48.0,1836,35.3,73.7,12.2,SAFE,52.0,
2026-03-31T19:00:30.000000,50.0,2464,37.3,91.8,20.4,SAFE,52.1,
2026-03-31T19:00:30.500000,53.0,2560,37.3,91.8,20.4,SAFE,52.2,
2026-03-31T19:00:31.000000,56.0,2496,36.5,92.9,20.0,AGGRESSIVE,49.2,
2026-03-31T19:00:31.500000,58.0,2847,37.3,91.8,20.4,AGGRESSIVE,46.2,
2026-03-31T19:00:32.000000,61.0,2688,37.6,88.6,5.9,SAFE,46.3,
2026-03-31T19:00:32.500000,60.0,1472,31.8,91.0,18.0,SAFE,46.4,
2026-03-31T19:00:33.000000,62.0,2800,35.7,92.9,18.8,AGGRESSIVE,43.4,
2026-03-31T19:00:33.500000,64.0,2560,36.1,92.2,18.8,AGGRESSIVE,40.4,
2026-03-31T19:00:34.000000,65.0,2592,36.5,92.5,19.6,AGGRESSIVE,37.4,
2026-03-31T19:00:34.500000,66.0,2674,36.9,92.2,19.6,AGGRESSIVE,34.4,
2026-03-31T19:00:35.000000,69.0,2633,36.9,92.2,19.6,AGGRESSIVE,31.4,
